2017 State General Election,Algester,"LANYON, Darryl",ONP,"5,055"
2017 State General Election,Algester,"PATTISON, Clinton",LNP,"6,025"
2017 State General Election,Algester,"ENOCH, Leeanne",ALP,"14,424",winner
2017 State General Election,Algester,"O'BRIEN, Patsy",GRN,"2,277"
2017 State General Election,Aspley,"MELLISH, Bart",ALP,"12,046",winner
2017 State General Election,Aspley,"HANSEN, James",GRN,"3,037"
2017 State General Election,Aspley,"ROSS, Steve",,235
2017 State General Election,Aspley,"SKILBECK, Neil",CR,458
2017 State General Election,Aspley,"BYRNE, Shaun",ONP,"3,081"
2017 State General Election,Aspley,"DAVIS, Tracy",LNP,"12,757"
2017 State General Election,Aspley,"KING, Zachary",,494
2017 State General Election,Bancroft,"GRANT, Barry",,"1,425"
2017 State General Election,Bancroft,"THOMAS, Kara",LNP,"7,631"
2017 State General Election,Bancroft,"DEJUN, Simone",GRN,"1,772"
2017 State General Election,Bancroft,"WHITING, Chris",ALP,"12,252",winner
2017 State General Election,Bancroft,"BOULIS, Christopher",ONP,"5,438"
2017 State General Election,Barron River,"TROUT, Michael",LNP,"8,686"
2017 State General Election,Barron River,"HODGETTS, Andrew",,826
2017 State General Election,Barron River,"BOYD, Cameron",GRN,"3,551"
2017 State General Election,Barron River,"CRAWFORD, Craig",ALP,"9,497",winner
2017 State General Election,Barron River,"TONKIN, Cheryl",,"1,039"
2017 State General Election,Barron River,"SCHEBELLA, Andrew",ONP,"4,760"
2017 State General Election,Bonney,"O'CONNOR, Sam",LNP,"11,405",winner
2017 State General Election,Bonney,"NIGHTINGALE, Ron",,"1,095"
2017 State General Election,Bonney,"HOLZBERGER, Rowan",ALP,"9,279"
2017 State General Election,Bonney,"JAVANMARD, Amin",GRN,"2,540"
2017 State General Election,Bonney,"BUEGGE, Robert",,"1,680"
2017 State General Election,Broadwater,"BALL, Brenden",ONP,"5,959"
2017 State General Election,Broadwater,"KWON, Daniel",GRN,"1,908"
2017 State General Election,Broadwater,"CRISAFULLI, David",LNP,"13,499",winner
2017 State General Election,Broadwater,"FLORI, Peter",ALP,"6,477"
